NIfTI ID,Slice Index,Tumor Ratio,Brain Area
BraTS-GLI-01101-000,73,0.2098,17593
BraTS-GLI-01101-000,74,0.2164,17643
BraTS-GLI-01101-000,75,0.2234,17709
BraTS-GLI-01101-000,76,0.2292,17750
BraTS-GLI-01101-000,77,0.2323,17797
BraTS-GLI-01101-000,78,0.235,17800
BraTS-GLI-01101-000,79,0.2359,17800
BraTS-GLI-01101-000,80,0.2388,17784
BraTS-GLI-01101-000,81,0.2428,17760
BraTS-GLI-01101-000,82,0.248,17725
BraTS-GLI-01101-000,95,0.2488,16265
BraTS-GLI-01101-000,96,0.2452,16064
BraTS-GLI-01101-000,97,0.238,15911
BraTS-GLI-01101-000,98,0.2317,15724
BraTS-GLI-01101-000,99,0.2244,15535
BraTS-GLI-01101-000,100,0.216,15288
BraTS-GLI-01101-000,101,0.2089,15049
BraTS-GLI-01101-000,102,0.2025,14779
BraTS-GLI-00558-000,82,0.2039,19089
BraTS-GLI-00558-000,83,0.2138,19032
BraTS-GLI-00558-000,84,0.2245,18948
BraTS-GLI-00558-000,85,0.2307,18838
BraTS-GLI-00558-000,86,0.2353,18722
BraTS-GLI-00558-000,87,0.2385,18590
BraTS-GLI-00558-000,88,0.2415,18438
BraTS-GLI-00558-000,89,0.2428,18310
BraTS-GLI-00558-000,90,0.2471,18138
BraTS-GLI-00558-000,103,0.2491,15525
BraTS-GLI-00558-000,104,0.2469,15268
BraTS-GLI-00558-000,105,0.2459,14996
BraTS-GLI-00558-000,106,0.2435,14693
BraTS-GLI-00558-000,107,0.2418,14385
BraTS-GLI-00558-000,108,0.2358,14065
BraTS-GLI-00558-000,109,0.2283,13697
BraTS-GLI-00558-000,110,0.2204,13289
BraTS-GLI-00558-000,111,0.2031,12892
BraTS-GLI-00606-000,57,0.2015,20278
BraTS-GLI-00606-000,58,0.202,20400
BraTS-GLI-00606-000,59,0.2035,20511
BraTS-GLI-00606-000,60,0.2069,20580
BraTS-GLI-00606-000,61,0.2083,20629
BraTS-GLI-00606-000,62,0.2081,20667
BraTS-GLI-00606-000,63,0.2055,20690
BraTS-GLI-00606-000,64,0.2037,20731
BraTS-GLI-00606-000,67,0.2022,20673
BraTS-GLI-00606-000,68,0.2051,20638
BraTS-GLI-00606-000,69,0.2099,20582
BraTS-GLI-00606-000,70,0.2125,20539
BraTS-GLI-00606-000,71,0.2122,20500
BraTS-GLI-00606-000,72,0.2124,20447
BraTS-GLI-00606-000,73,0.211,20415
BraTS-GLI-00606-000,74,0.2045,20367
BraTS-GLI-01401-000,60,0.2018,16371
BraTS-GLI-01401-000,61,0.2071,16581
BraTS-GLI-01401-000,62,0.2066,16826
BraTS-GLI-01401-000,63,0.2087,17022
BraTS-GLI-01401-000,64,0.2083,17267
BraTS-GLI-01401-000,65,0.2084,17406
BraTS-GLI-01401-000,66,0.208,17532
BraTS-GLI-01401-000,67,0.2065,17639
BraTS-GLI-01401-000,68,0.205,17721
BraTS-GLI-01401-000,69,0.2014,17804
BraTS-GLI-01022-000,51,0.2039,12655
BraTS-GLI-01022-000,52,0.2086,12740
BraTS-GLI-01022-000,53,0.2119,12939
BraTS-GLI-01022-000,54,0.2063,13764
BraTS-GLI-01022-000,55,0.2065,13986
BraTS-GLI-01022-000,56,0.2066,14109
BraTS-GLI-01022-000,57,0.205,14270
BraTS-GLI-01022-000,58,0.2002,14477
BraTS-GLI-00787-000,50,0.2009,13204
BraTS-GLI-00787-000,51,0.201,13646
BraTS-GLI-01235-000,91,0.203,15736
BraTS-GLI-01235-000,92,0.2037,15657
BraTS-GLI-01235-000,93,0.2044,15541
BraTS-GLI-01235-000,94,0.2032,15415
BraTS-GLI-01235-000,95,0.2032,15279
BraTS-GLI-01235-000,96,0.2034,15133
BraTS-GLI-01235-000,97,0.2023,14979
BraTS-GLI-01235-000,111,0.2019,11524
BraTS-GLI-01235-000,112,0.2049,11187
BraTS-GLI-01235-000,113,0.2041,10839
BraTS-GLI-01235-000,114,0.2073,10486
BraTS-GLI-01235-000,115,0.2058,10138
BraTS-GLI-01280-000,49,0.212,14579
