NIfTI ID,Slice Index,Tumor Ratio,Brain Area
BraTS-GLI-00296-000,96,0.1064,16219
BraTS-GLI-00296-000,97,0.1065,16075
BraTS-GLI-00296-000,98,0.109,15900
BraTS-GLI-00296-000,99,0.1109,15723
BraTS-GLI-00296-000,100,0.1064,15548
BraTS-GLI-00296-000,101,0.105,15335
BraTS-GLI-00296-000,102,0.1008,15123
BraTS-GLI-01101-000,66,0.1001,16825
BraTS-GLI-01101-000,67,0.1164,16955
BraTS-GLI-01101-000,68,0.1343,17064
BraTS-GLI-01101-000,112,0.1423,11318
BraTS-GLI-01101-000,113,0.1315,11059
BraTS-GLI-01101-000,114,0.1215,10755
BraTS-GLI-01101-000,115,0.1129,10362
BraTS-GLI-01101-000,116,0.1014,10034
BraTS-GLI-00366-000,62,0.1006,15165
BraTS-GLI-00366-000,63,0.1102,15498
BraTS-GLI-00366-000,64,0.1168,15845
BraTS-GLI-00366-000,65,0.1224,16009
BraTS-GLI-00366-000,66,0.1282,16259
BraTS-GLI-00366-000,67,0.1332,16394
BraTS-GLI-00366-000,68,0.1387,16463
BraTS-GLI-00366-000,69,0.1438,16520
BraTS-GLI-00366-000,70,0.1471,16577
BraTS-GLI-00366-000,95,0.1434,14335
BraTS-GLI-00366-000,96,0.1345,14119
BraTS-GLI-00366-000,97,0.1263,13900
BraTS-GLI-00366-000,98,0.1166,13609
BraTS-GLI-00366-000,99,0.1062,13261
BraTS-GLI-00133-000,42,0.1034,13123
BraTS-GLI-00133-000,43,0.1094,13304
BraTS-GLI-00133-000,44,0.1131,13373
BraTS-GLI-00133-000,45,0.1215,13505
BraTS-GLI-00133-000,46,0.1304,13544
BraTS-GLI-00133-000,47,0.1375,13578
BraTS-GLI-00133-000,48,0.1479,13586
BraTS-GLI-00133-000,52,0.1489,13960
BraTS-GLI-00133-000,53,0.1432,14507
BraTS-GLI-00133-000,54,0.1451,14661
BraTS-GLI-00133-000,55,0.1478,15062
BraTS-GLI-00133-000,56,0.146,15144
BraTS-GLI-00133-000,57,0.1416,15414
BraTS-GLI-00133-000,58,0.1364,15511
BraTS-GLI-00133-000,59,0.1346,15702
BraTS-GLI-00133-000,60,0.1311,15797
BraTS-GLI-00133-000,61,0.1277,15917
BraTS-GLI-00133-000,62,0.1234,16013
BraTS-GLI-00133-000,63,0.1163,16254
BraTS-GLI-00133-000,64,0.1126,16373
BraTS-GLI-00133-000,65,0.107,16569
BraTS-GLI-00133-000,66,0.1033,16685
BraTS-GLI-00133-000,67,0.1014,16839
BraTS-GLI-00558-000,73,0.104,19067
BraTS-GLI-00558-000,74,0.1204,19119
BraTS-GLI-00558-000,75,0.132,19161
BraTS-GLI-00558-000,76,0.1437,19198
BraTS-GLI-00558-000,128,0.1481,5380
BraTS-GLI-00558-000,129,0.1246,4833
BraTS-GLI-00520-000,92,0.1,16269
BraTS-GLI-00520-000,93,0.1051,16159
BraTS-GLI-00520-000,94,0.1056,16044
BraTS-GLI-00520-000,95,0.1028,15915
BraTS-GLI-00520-000,96,0.102,15807
BraTS-GLI-00733-000,71,0.1028,18990
BraTS-GLI-00733-000,72,0.1064,19001
BraTS-GLI-00733-000,73,0.1091,18995
BraTS-GLI-00733-000,74,0.1109,18971
BraTS-GLI-00733-000,75,0.1126,18940
BraTS-GLI-00733-000,76,0.1141,18902
BraTS-GLI-00733-000,77,0.1166,18852
BraTS-GLI-00733-000,78,0.1185,18811
BraTS-GLI-00733-000,79,0.1197,18749
BraTS-GLI-00733-000,80,0.1198,18707
BraTS-GLI-00733-000,81,0.1195,18649
BraTS-GLI-00733-000,82,0.1189,18576
BraTS-GLI-00733-000,83,0.1183,18491
BraTS-GLI-00733-000,84,0.1165,18399
BraTS-GLI-00733-000,85,0.1105,18285
BraTS-GLI-00733-000,86,0.1062,18166
BraTS-GLI-00733-000,87,0.1052,18034
BraTS-GLI-00733-000,88,0.1044,17899
BraTS-GLI-00733-000,89,0.1048,17757
BraTS-GLI-00733-000,90,0.1047,17596
BraTS-GLI-00733-000,91,0.1041,17431
BraTS-GLI-00733-000,92,0.1029,17271
BraTS-GLI-00733-000,93,0.1015,17076
BraTS-GLI-00733-000,94,0.1004,16909
BraTS-GLI-00606-000,33,0.1087,10507
BraTS-GLI-00606-000,34,0.1127,11122
BraTS-GLI-00606-000,35,0.114,11974
BraTS-GLI-00606-000,36,0.1152,12617
BraTS-GLI-00606-000,37,0.1186,13105
BraTS-GLI-00606-000,38,0.124,13562
BraTS-GLI-00606-000,39,0.1285,13911
BraTS-GLI-00606-000,40,0.1332,14154
BraTS-GLI-00606-000,41,0.141,14425
BraTS-GLI-00606-000,42,0.1456,14811
BraTS-GLI-00606-000,43,0.1492,15384
BraTS-GLI-00606-000,78,0.137,20214
BraTS-GLI-00606-000,79,0.1234,20179
BraTS-GLI-00606-000,80,0.1141,20132
BraTS-GLI-00606-000,81,0.106,20096
BraTS-GLI-00104-000,90,0.1038,16254
BraTS-GLI-00104-000,91,0.1146,16035
BraTS-GLI-00104-000,92,0.1224,15858
BraTS-GLI-00104-000,93,0.1281,15620
BraTS-GLI-00104-000,94,0.1323,15438
BraTS-GLI-00104-000,95,0.138,15214
BraTS-GLI-00104-000,96,0.146,15005
BraTS-GLI-00104-000,131,0.1292,1571
BraTS-GLI-01401-000,37,0.1081,11750
